id,sourceName,sourceUrl,domain,finalStatus,acceptedRunCount,rejectedRunCount,duplicatePromotionRunCount,promotedRunCount,followupRunCount,lastFollowupReason,lastValidationReasons,nextAction,latestAcceptedRunId,latestRejectedRunId,latestFollowupRunId
knowledge-cdc-act-early-resources,CDC Learn the Signs Act Early Resources,https://www.cdc.gov/act-early/resources,cdc.gov,deferred_blocked_source,0,0,0,0,1,dns_lookup_failed,,This blocked official source has been explicitly deferred; do not retry it unless a reviewed replacement is provided.,,,2026-06-18T21-26-05-997Z
knowledge-cdc-act-early-families,CDC Learn the Signs Act Early Resources for Families,https://www.cdc.gov/act-early/families,cdc.gov,deferred_blocked_source,0,0,0,0,1,dns_lookup_failed,,This blocked official source has been explicitly deferred; do not retry it unless a reviewed replacement is provided.,,,2026-06-18T21-19-15-000Z
knowledge-cdc-act-early-hcp,CDC Learn the Signs Act Early Resources for Healthcare Providers,https://www.cdc.gov/act-early/hcp,cdc.gov,deferred_blocked_source,0,0,0,0,1,dns_lookup_failed,,This blocked official source has been explicitly deferred; do not retry it unless a reviewed replacement is provided.,,,2026-06-18T21-26-55-646Z
knowledge-cdc-act-early-milestone-tracker-app,CDC Milestone Tracker App,https://www.cdc.gov/act-early/milestones-app,cdc.gov,deferred_blocked_source,0,0,0,0,1,dns_lookup_failed,,This blocked official source has been explicitly deferred; do not retry it unless a reviewed replacement is provided.,,,2026-06-18T21-23-29-957Z
knowledge-cdc-act-early-milestones-in-action,CDC Milestones in Action,https://www.cdc.gov/act-early/milestones-in-action,cdc.gov,deferred_blocked_source,0,0,0,0,1,sandbox_network_disabled,,This blocked official source has been explicitly deferred; do not retry it unless a reviewed replacement is provided.,,,2026-06-18T21-29-03-152Z
knowledge-chip-overview,CHIP Overview,https://www.medicaid.gov/chip,medicaid.gov,deferred_blocked_source,0,0,0,0,2,dns_lookup_failed,,This blocked official source has been explicitly deferred; do not retry it unless a reviewed replacement is provided.,,,2026-06-18T20-06-10-574Z
knowledge-idea-civil-action,IDEA Civil Action,https://sites.ed.gov/idea/regs/b/e/300.516,sites.ed.gov,deferred_blocked_source,0,0,0,0,1,dns_lookup_failed,,This blocked official source has been explicitly deferred; do not retry it unless a reviewed replacement is provided.,,,2026-06-18T21-08-20-670Z
knowledge-idea-due-process-complaint,IDEA Due Process Complaint,https://sites.ed.gov/idea/regs/b/e/300.508,sites.ed.gov,deferred_blocked_source,0,0,0,0,1,dns_lookup_failed,,This blocked official source has been explicitly deferred; do not retry it unless a reviewed replacement is provided.,,,2026-06-18T20-57-50-079Z
knowledge-idea-due-process-hearing,IDEA Due Process Hearing,https://sites.ed.gov/idea/regs/b/e/300.511,sites.ed.gov,deferred_blocked_source,0,0,0,0,1,dns_lookup_failed,,This blocked official source has been explicitly deferred; do not retry it unless a reviewed replacement is provided.,,,2026-06-18T21-09-54-716Z
knowledge-idea-hearing-decision-timelines,IDEA Hearing Decisions and Timelines,https://sites.ed.gov/idea/regs/b/e/300.515,sites.ed.gov,deferred_blocked_source,0,0,0,0,1,dns_lookup_failed,,This blocked official source has been explicitly deferred; do not retry it unless a reviewed replacement is provided.,,,2026-06-18T21-11-11-463Z
knowledge-idea-iep-content,IDEA IEP Content Requirements,https://sites.ed.gov/idea/regs/b/d/300.320,sites.ed.gov,deferred_blocked_source,0,0,0,0,2,dns_lookup_failed,,This blocked official source has been explicitly deferred; do not retry it unless a reviewed replacement is provided.,,,2026-06-18T19-57-04-809Z
knowledge-idea-independent-educational-evaluation,IDEA Independent Educational Evaluation,https://sites.ed.gov/idea/regs/b/e/300.502,sites.ed.gov,deferred_blocked_source,0,0,0,0,1,dns_lookup_failed,,This blocked official source has been explicitly deferred; do not retry it unless a reviewed replacement is provided.,,,2026-06-18T20-59-20-720Z
knowledge-idea-initial-evaluations,IDEA Initial Evaluations and Reevaluations,https://sites.ed.gov/idea/regs/b/d/300.301,sites.ed.gov,deferred_blocked_source,0,0,0,0,2,dns_lookup_failed,,This blocked official source has been explicitly deferred; do not retry it unless a reviewed replacement is provided.,,,2026-06-18T19-58-00-456Z
knowledge-idea-mediation,IDEA Mediation,https://sites.ed.gov/idea/regs/b/e/300.506,sites.ed.gov,deferred_blocked_source,0,0,0,0,1,dns_lookup_failed,,This blocked official source has been explicitly deferred; do not retry it unless a reviewed replacement is provided.,,,2026-06-18T21-12-19-441Z
knowledge-idea-prior-written-notice,IDEA Prior Written Notice,https://sites.ed.gov/idea/regs/b/d/300.503,sites.ed.gov,deferred_blocked_source,0,0,0,0,1,dns_lookup_failed,,This blocked official source has been explicitly deferred; do not retry it unless a reviewed replacement is provided.,,,2026-06-18T21-00-06-252Z
knowledge-idea-procedural-safeguards-notice,IDEA Procedural Safeguards Notice,https://sites.ed.gov/idea/regs/b/e/300.504,sites.ed.gov,deferred_blocked_source,0,0,0,0,1,dns_lookup_failed,,This blocked official source has been explicitly deferred; do not retry it unless a reviewed replacement is provided.,,,2026-06-18T19-58-11-016Z
knowledge-idea-resolution-process,IDEA Resolution Process,https://sites.ed.gov/idea/regs/b/e/300.510,sites.ed.gov,deferred_blocked_source,0,0,0,0,1,dns_lookup_failed,,This blocked official source has been explicitly deferred; do not retry it unless a reviewed replacement is provided.,,,2026-06-18T21-01-44-118Z
knowledge-idea-transition-services-definition,IDEA Transition Services Definition,https://sites.ed.gov/idea/regs/b/d/300.43,sites.ed.gov,deferred_blocked_source,0,0,0,0,2,dns_lookup_failed,,This blocked official source has been explicitly deferred; do not retry it unless a reviewed replacement is provided.,,,2026-06-18T19-58-48-406Z
knowledge-medicaid-chip-seamless-transitions,Medicaid and CHIP Seamless Transitions,https://www.medicaid.gov/resources-for-states/eligibility-enrollment-and-renewal-tools-and-resources/medicaid-and-chip-seamless-transitions,medicaid.gov,deferred_blocked_source,0,0,0,0,1,dns_lookup_failed,,This blocked official source has been explicitly deferred; do not retry it unless a reviewed replacement is provided.,,,2026-06-18T20-19-38-442Z
knowledge-medicaid-school-based-services,Medicaid and School-Based Services,https://www.medicaid.gov/resources-for-states/medicaid-state-technical-assistance/medicaid-and-school-based-services,medicaid.gov,deferred_blocked_source,0,0,0,0,1,dns_lookup_failed,,This blocked official source has been explicitly deferred; do not retry it unless a reviewed replacement is provided.,,,2026-06-18T20-49-41-169Z
knowledge-medicaid-application-fair-hearings,Medicaid Application and Fair Hearings Resources,https://www.medicaid.gov/resources-for-states/eligibility-enrollment-and-renewal-tools-and-resources/application-and-fair-hearings-resources,medicaid.gov,deferred_blocked_source,0,0,0,0,1,dns_lookup_failed,,This blocked official source has been explicitly deferred; do not retry it unless a reviewed replacement is provided.,,,2026-06-18T20-52-09-393Z
knowledge-medicaid-benefits-overview,Medicaid Benefits Overview,https://www.medicaid.gov/medicaid/benefits,medicaid.gov,deferred_blocked_source,0,0,0,0,1,dns_lookup_failed,,This blocked official source has been explicitly deferred; do not retry it unless a reviewed replacement is provided.,,,2026-06-18T20-11-19-452Z
knowledge-medicaid-eligibility,Medicaid Eligibility,https://www.medicaid.gov/medicaid/eligibility,medicaid.gov,deferred_blocked_source,0,0,0,0,1,dns_lookup_failed,,This blocked official source has been explicitly deferred; do not retry it unless a reviewed replacement is provided.,,,2026-06-18T20-06-38-210Z
knowledge-medicaid-epsdt,Medicaid EPSDT Benefit,https://www.medicaid.gov/medicaid/benefits/early-and-periodic-screening-diagnostic-and-treatment,medicaid.gov,deferred_blocked_source,0,0,0,0,2,dns_lookup_failed,,This blocked official source has been explicitly deferred; do not retry it unless a reviewed replacement is provided.,,,2026-06-18T19-45-30-027Z
knowledge-medicaid-hcbs-provisions,Medicaid HCBS Provisions,https://www.medicaid.gov/medicaid/access-care/home-and-community-based-services-provisions,medicaid.gov,deferred_blocked_source,0,0,0,0,1,dns_lookup_failed,,This blocked official source has been explicitly deferred; do not retry it unless a reviewed replacement is provided.,,,2026-06-18T20-52-40-327Z
knowledge-nichd-autism,NICHD Autism Spectrum Disorder,https://www.nichd.nih.gov/health/topics/autism,nichd.nih.gov,deferred_blocked_source,0,0,0,0,1,dns_lookup_failed,,This blocked official source has been explicitly deferred; do not retry it unless a reviewed replacement is provided.,,,2026-06-18T19-45-50-367Z
knowledge-nichd-cerebral-palsy,NICHD Cerebral Palsy,https://www.nichd.nih.gov/health/topics/cerebral-palsy,nichd.nih.gov,deferred_blocked_source,0,0,0,0,2,dns_lookup_failed,,This blocked official source has been explicitly deferred; do not retry it unless a reviewed replacement is provided.,,,2026-06-18T19-47-04-376Z
knowledge-nichd-down-syndrome,NICHD Down Syndrome,https://www.nichd.nih.gov/health/topics/down,nichd.nih.gov,deferred_blocked_source,0,0,0,0,2,dns_lookup_failed,,This blocked official source has been explicitly deferred; do not retry it unless a reviewed replacement is provided.,,,2026-06-18T19-47-47-681Z
knowledge-parent-center-iep-overview,Parent Center Hub IEP Overview,https://www.parentcenterhub.org/iep-overview,parentcenterhub.org,deferred_blocked_source,0,0,0,0,2,dns_lookup_failed,,This blocked official source has been explicitly deferred; do not retry it unless a reviewed replacement is provided.,,,2026-06-18T19-49-16-575Z
knowledge-parent-center-section-504,Parent Center Hub Section 504,https://www.parentcenterhub.org/section504,parentcenterhub.org,deferred_blocked_source,0,0,0,0,2,dns_lookup_failed,,This blocked official source has been explicitly deferred; do not retry it unless a reviewed replacement is provided.,,,2026-06-18T19-50-03-403Z
knowledge-parent-center-transition-adult,Parent Center Hub Transition to Adulthood,https://www.parentcenterhub.org/transitionadult,parentcenterhub.org,deferred_blocked_source,0,0,0,0,2,dns_lookup_failed,,This blocked official source has been explicitly deferred; do not retry it unless a reviewed replacement is provided.,,,2026-06-18T19-51-08-216Z
knowledge-ssa-apply-child-disability,SSA Apply for Child Disability Benefits,https://www.ssa.gov/benefits/disability/apply-child.html,ssa.gov,deferred_blocked_source,0,0,0,0,7,access_blocked_403,,This blocked official source has been explicitly deferred; do not retry it unless a reviewed replacement is provided.,,,2026-06-18T04-09-08-140Z
knowledge-ssa-child-disability-benefits,SSA Child Disability Benefits,https://www.ssa.gov/benefits/disability/qualify.html,ssa.gov,deferred_blocked_source,0,0,0,0,4,access_blocked_403,,This blocked official source has been explicitly deferred; do not retry it unless a reviewed replacement is provided.,,,2026-06-18T04-09-08-140Z
knowledge-ssa-disability-appeal,SSA Disability Appeal,https://www.ssa.gov/benefits/disability/appeal.html,ssa.gov,deferred_blocked_source,0,0,0,0,2,dns_lookup_failed,,This blocked official source has been explicitly deferred; do not retry it unless a reviewed replacement is provided.,,,2026-06-18T20-12-13-421Z
knowledge-idea-child-find,IDEA Child Find,https://sites.ed.gov/idea/regs/b/d/300.111,sites.ed.gov,deferred_unresolved,0,0,0,0,1,sandbox_network_disabled,,This blocked target was explicitly skipped as unresolved; do not retry it in the bounded lane.,,,2026-06-18T21-50-14-886Z
knowledge-idea-iep-review-revision,IDEA Development Review and Revision of IEP,https://sites.ed.gov/idea/regs/b/d/300.324,sites.ed.gov,deferred_unresolved,0,0,0,0,1,sandbox_network_disabled,,This blocked target was explicitly skipped as unresolved; do not retry it in the bounded lane.,,,2026-06-18T21-52-37-431Z
knowledge-idea-evaluation-procedures,IDEA Evaluation Procedures,https://sites.ed.gov/idea/regs/b/d/300.304,sites.ed.gov,deferred_unresolved,0,0,0,0,1,sandbox_network_disabled,,This blocked target was explicitly skipped as unresolved; do not retry it in the bounded lane.,,,2026-06-18T21-53-05-073Z
knowledge-idea-iep-team,IDEA IEP Team,https://sites.ed.gov/idea/regs/b/d/300.321,sites.ed.gov,deferred_unresolved,0,0,0,0,1,sandbox_network_disabled,,This blocked target was explicitly skipped as unresolved; do not retry it in the bounded lane.,,,2026-06-18T21-53-38-653Z
knowledge-ssa-child-disability-starter-kit,SSA Child Disability Starter Kit,https://www.ssa.gov/disability/disability_starter_kits_child_eng.htm,ssa.gov,deferred_unresolved,0,0,0,0,1,sandbox_network_disabled,,This blocked target was explicitly skipped as unresolved; do not retry it in the bounded lane.,,,2026-06-18T21-54-05-486Z
knowledge-acl-respite,ACL National Family Caregiver Support Program,https://acl.gov/programs/support-caregivers/national-family-caregiver-support-program,acl.gov,duplicate_of_existing_live_article,5,0,2,0,1,dns_lookup_failed,,Do not re-fetch this target; expand the authored knowledge source pack with new exact topics instead.,2026-06-18T04-06-55-919Z,,2026-06-18T03-38-31-828Z
knowledge-cdc-autism-spectrum-disorder,CDC Autism Spectrum Disorder,https://www.cdc.gov/autism/about,cdc.gov,duplicate_of_existing_live_article,4,0,2,0,0,,,Do not re-fetch this target; expand the authored knowledge source pack with new exact topics instead.,2026-06-18T04-06-55-919Z,,
knowledge-cdc-developmental-disabilities,CDC Developmental Disabilities,https://www.cdc.gov/child-development/about/developmental-disability-basics.html,cdc.gov,duplicate_of_existing_live_article,3,0,2,0,0,,,Do not re-fetch this target; expand the authored knowledge source pack with new exact topics instead.,2026-06-18T04-06-55-919Z,,
knowledge-cdc-developmental-milestones,CDC Developmental Milestones,https://www.cdc.gov/act-early/milestones,cdc.gov,duplicate_of_existing_live_article,4,0,2,0,1,dns_lookup_failed,,Do not re-fetch this target; expand the authored knowledge source pack with new exact topics instead.,2026-06-18T04-06-55-919Z,,2026-06-18T03-38-31-828Z
knowledge-cms-medicaid-chip,Medicaid and CHIP Information from CMS,https://www.medicaid.gov/medicaid,medicaid.gov,duplicate_of_existing_live_article,3,0,2,0,0,,,Do not re-fetch this target; expand the authored knowledge source pack with new exact topics instead.,2026-06-18T04-06-55-919Z,,
knowledge-medicaid-hcbs,Medicaid Home and Community-Based Services,https://www.medicaid.gov/medicaid/home-community-based-services/home-community-based-services-authorities,medicaid.gov,duplicate_of_existing_live_article,5,0,2,0,1,dns_lookup_failed,,Do not re-fetch this target; expand the authored knowledge source pack with new exact topics instead.,2026-06-18T04-06-55-919Z,,2026-06-18T03-38-31-828Z
knowledge-idea-ed-special-education,IDEA Individuals with Disabilities Education Act,https://sites.ed.gov/idea,sites.ed.gov,promoted_live,6,0,1,1,1,dns_lookup_failed,,No immediate fetch work is needed; this exact target is already promoted.,2026-06-18T04-06-55-919Z,,2026-06-18T03-38-31-828Z
knowledge-ed-osep-hearing-complaint-mediation,OSEP IDEA Dispute Resolution Overview,https://sites.ed.gov/idea/idea-files/osep-memo-and-qa-on-dispute-resolution,sites.ed.gov,promoted_live,3,0,1,1,0,,,No immediate fetch work is needed; this exact target is already promoted.,2026-06-18T04-06-55-919Z,,
